Company,Ticker,Industry,Category,Fiscal Year,Fiscal Year (Short),Revenue ($B),Net Income ($B),Total Assets ($B),OCF ($B)
3M,MMM,Surgical & Medical Instruments & Apparatus,Operating Company,2022-12-31,2022,26.161,5.777,,5.591
3M,MMM,Surgical & Medical Instruments & Apparatus,Operating Company,2023-12-31,2023,24.61,-6.995,50.58,6.68
3M,MMM,Surgical & Medical Instruments & Apparatus,Operating Company,2024-12-31,2024,24.575,4.173,39.868,1.819
AbbVie,ABBV,Pharmaceutical Preparations,Operating Company,2022-12-31,2022,58.054,11.836,,24.943
AbbVie,ABBV,Pharmaceutical Preparations,Operating Company,2023-12-31,2023,54.318,4.863,134.711,22.839
AbbVie,ABBV,Pharmaceutical Preparations,Operating Company,2024-12-31,2024,56.334,4.278,135.161,18.806
Advanced Micro Devices,AMD,Semiconductors & Related Devices,Operating Company,2022-12-31,2022,23.601,1.32,,3.565
Advanced Micro Devices,AMD,Semiconductors & Related Devices,Operating Company,2023-12-30,2023,22.68,0.854,67.885,1.667
Advanced Micro Devices,AMD,Semiconductors & Related Devices,Operating Company,2024-12-28,2024,25.785,1.641,69.226,3.041
Alphabet,GOOGL,"Services-Computer Programming, Data Processing, Etc.",Operating Company,2022-12-31,2022,282.836,59.972,,91.495
Alphabet,GOOGL,"Services-Computer Programming, Data Processing, Etc.",Operating Company,2023-12-31,2023,307.394,73.795,402.392,101.746
Alphabet,GOOGL,"Services-Computer Programming, Data Processing, Etc.",Operating Company,2024-12-31,2024,350.018,100.118,450.256,125.299
Apple,AAPL,Electronic Computers,Operating Company,2023-09-30,2023,383.285,96.995,,110.543
Apple,AAPL,Electronic Computers,Operating Company,2024-09-28,2024,391.035,93.736,364.98,118.254
Apple,AAPL,Electronic Computers,Operating Company,2025-09-27,2025,416.161,112.01,359.241,111.482
Bank of America,BAC,National Commercial Banks,Bank,2022-12-31,2022,94.95,27.528,,-6.327
Bank of America,BAC,National Commercial Banks,Bank,2023-12-31,2023,98.581,26.515,3180.151,44.982
Bank of America,BAC,National Commercial Banks,Bank,2024-12-31,2024,101.887,27.132,3261.519,-8.805
Boeing,BA,Aircraft,Operating Company,2022-12-31,2022,66.608,-4.935,,3.512
Boeing,BA,Aircraft,Operating Company,2023-12-31,2023,77.794,-2.222,137.012,5.96
Boeing,BA,Aircraft,Operating Company,2024-12-31,2024,66.517,-11.817,156.363,-12.08
Caterpillar,CAT,Construction Machinery & Equip,Operating Company,2022-12-31,2022,59.427,,,7.766
Caterpillar,CAT,Construction Machinery & Equip,Operating Company,2023-12-31,2023,67.06,,87.476,12.885
Caterpillar,CAT,Construction Machinery & Equip,Operating Company,2024-12-31,2024,64.809,,87.764,12.035
Chevron,CVX,Petroleum Refining,Operating Company,2022-12-31,2022,235.717,35.465,,49.602
Chevron,CVX,Petroleum Refining,Operating Company,2023-12-31,2023,196.913,21.369,261.632,35.609
Chevron,CVX,Petroleum Refining,Operating Company,2024-12-31,2024,193.414,17.661,256.938,31.492
Cisco Systems,CSCO,Computer Communications Equipment,Operating Company,2023-07-29,2023,56.998,12.613,,19.886
Cisco Systems,CSCO,Computer Communications Equipment,Operating Company,2024-07-27,2024,53.803,10.32,124.413,10.88
Cisco Systems,CSCO,Computer Communications Equipment,Operating Company,2025-07-26,2025,56.654,10.18,122.291,14.193
Coca-Cola,KO,Beverages,Operating Company,2022-12-31,2022,43.004,9.542,,11.018
Coca-Cola,KO,Beverages,Operating Company,2023-12-31,2023,45.754,10.714,97.703,11.599
Coca-Cola,KO,Beverages,Operating Company,2024-12-31,2024,47.061,10.631,100.549,6.805
Eli Lilly,LLY,Pharmaceutical Preparations,Operating Company,2022-12-31,2022,28.5414,6.2448,,7.5857
Eli Lilly,LLY,Pharmaceutical Preparations,Operating Company,2023-12-31,2023,34.1241,5.2404,64.0063,4.2401
Eli Lilly,LLY,Pharmaceutical Preparations,Operating Company,2024-12-31,2024,45.0427,10.59,78.7149,8.8179
ExxonMobil,XOM,Petroleum Refining,Operating Company,2022-12-31,2022,413.68,55.74,,76.797
ExxonMobil,XOM,Petroleum Refining,Operating Company,2023-12-31,2023,344.582,36.01,376.317,55.369
ExxonMobil,XOM,Petroleum Refining,Operating Company,2024-12-31,2024,349.585,33.68,453.475,55.022
Ford,F,Motor Vehicles & Passenger Car Bodies,Operating Company,2022-12-31,2022,158.057,-5.15,,6.853
Ford,F,Motor Vehicles & Passenger Car Bodies,Operating Company,2023-12-31,2023,176.191,-0.603,273.31,14.918
Ford,F,Motor Vehicles & Passenger Car Bodies,Operating Company,2024-12-31,2024,184.992,2.451,285.196,15.423
General Electric,GE,Electronic & Other Electrical Equipment (No Computer Equip),Operating Company,2022-12-31,2022,29.139,0.336,,5.917
General Electric,GE,Electronic & Other Electrical Equipment (No Computer Equip),Operating Company,2023-12-31,2023,35.348,9.482,173.3,5.189
General Electric,GE,Electronic & Other Electrical Equipment (No Computer Equip),Operating Company,2024-12-31,2024,38.702,6.556,123.14,4.71
Goldman Sachs,GS,"Security Brokers, Dealers & Flotation Companies",Investment Manager,2022-12-31,2022,,11.261,,8.708
Goldman Sachs,GS,"Security Brokers, Dealers & Flotation Companies",Investment Manager,2023-12-31,2023,,8.516,1641.594,-12.587
Goldman Sachs,GS,"Security Brokers, Dealers & Flotation Companies",Investment Manager,2024-12-31,2024,,14.276,1675.972,-13.212
Honeywell,HON,Aircraft Engines & Engine Parts,Operating Company,2022-12-31,2022,35.466,4.966,,5.274
