Company,Ticker,Fiscal Year,Current Ratio,Debt-to-Equity,Debt-to-Assets,LT-Debt-to-Equity,ROA (%),ROE (%),Asset Turnover,Gross Margin (%),Operating Margin (%),Net Margin (%),OCF-to-Liabilities,Free Cash Flow ($M),OCF Margin (%)
Microsoft,MSFT,2024-06-30,1.2749549031815206,0.9076606189729474,0.47579774407756903,0.15900058478007428,17.208583985957596,32.828137978299814,0.47860153896318164,69.76444382797138,44.64429957327371,35.955972944084984,0.48647850102180673,21578000000.0,48.36285604719283
Microsoft,MSFT,2025-06-30,1.3534464445042416,0.8021567548525529,0.44510931287893596,0.11689797629549405,16.450970350709124,29.647227341409522,0.4551254194244616,68.8237423861652,45.62195624085985,36.146015248967075,0.49419288337858047,63563000000.0,48.33170052959635
Apple,AAPL,2024-09-28,0.8673125765340832,5.408779631255487,0.8439640528248123,1.5057067603160668,25.682503150857585,164.59350307287096,1.0713874732862074,46.206349815233935,31.510222870075566,23.971255769943866,0.38390416517871634,121189000000.0,30.24128274962599
Apple,AAPL,2025-09-27,0.8932929222186667,3.872187487285205,0.7947533828265705,1.0623194499070971,31.17962593356549,151.91298333175104,1.1584451663368045,46.90516410716045,31.970799762591884,26.91506412181824,0.39046891855919974,126677000000.0,26.788190147563085
Alphabet,GOOGL,2023-12-31,2.096584936563424,0.41997819175027085,0.29576383228294795,0.04188736638918198,18.33908228791825,26.041096905557577,0.7639167776695361,,27.421810445226647,24.006649446638516,0.8549150092847,74683000000.0,33.09954000403391
Alphabet,GOOGL,2024-12-31,1.8369313974102914,0.38504509603671666,0.27800184783767456,0.033477501199689924,22.235794747876763,30.797578472025695,0.7773755374720159,,32.1097772114577,28.603671811164,1.0010146039050267,79763000000.0,35.79787325223274
Meta Platforms,META,2023-12-31,2.6709949937421777,0.49915778752742085,0.33295880639134584,0.12003159928966886,17.02703997421861,25.526219575890526,0.5874934131162819,,34.655527716416366,28.982520644616095,0.9301288339546139,46618000000.0,52.71456316437118
Meta Platforms,META,2024-12-31,2.9778842719371355,0.5114900047635473,0.33840118237736094,0.157832202675252,22.589783158367567,34.144231453648494,0.5959015265129286,,42.1760354040401,37.90858414234564,0.9776379031653768,44178000000.0,55.518203536756616
NVIDIA,NVDA,2024-01-28,4.171291505973097,0.529340592861464,0.346123417721519,0.19682162967099445,45.277507302823764,69.24472986178975,0.9268804771178188,72.71757329043696,54.121663766783755,48.84934834706674,1.2347252747252748,17524000000.0,46.10813827517153
NVIDIA,NVDA,2025-01-26,4.439851498864077,0.4068476054811098,0.28919095707027714,0.10668498745698186,65.30407433625147,91.87288060811576,1.169317479234057,74.98869705816992,62.417526839697466,55.848027157712444,1.9857780256553264,43668000000.0,49.11147382698453
Advanced Micro Devices,AMD,2023-12-30,2.506802212587831,0.11967723466685751,0.09853428592472564,0.030719959922708078,1.2580098696324666,1.5279467544550203,0.33409442439419607,46.119929453262785,1.7680776014109347,3.7654320987654324,0.24921512931678877,244000000.0,7.3500881834215175
Advanced Micro Devices,AMD,2024-12-28,2.6162615025408598,0.12647651473040578,0.10517724554358189,0.02989508060033352,2.370496634212579,2.8505419677598667,0.3724756594343166,49.350397517936784,7.368625169672289,6.364165212332752,0.41766240900975143,1940000000.0,11.793678495249175
Intel,INTC,2024-12-28,1.3268659227275277,0.3592827641785031,0.18152021782833294,0.4662234310466405,-9.545766852431484,-18.893925657298276,0.2702547268239306,32.664168283083185,-21.99205288036007,-35.321368712453626,0.23237817529299612,-9968000000.0,15.607992316528879
Intel,INTC,2025-12-27,2.017038796516231,0.2762926470716917,0.14934091349814832,0.38576841294703407,-0.12628352780365987,-0.23363463742879392,0.24997989868939455,34.76623843490436,-4.188976973870925,-0.5051747299112632,0.3071100554235946,-5124000000.0,18.347113692694833
