Company,Ticker,Company Name,CIK,Industry,Business Category,State of Incorporation,Phone,Address,Fiscal Year,Total Revenue,COGS,Gross Profit,Operating Expenses,Operating Income,Net Income,Total Assets,Current Assets,Long-term Assets,Total Liabilities,Current Liabilities,Long-term Liabilities,Long-term Debt,Stockholders Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow
Intel,INTC,INTEL CORP,50863,Semiconductors & Related Devices,Operating Company,,,"2200 MISSION COLLEGE BLVD
RNB-4-151
SANTA CLARA, CA 95054",2025-12-27,52853000000.0,34478000000.0,18375000000.0,20589000000.0,-2214000000.0,-267000000.0,211429000000.0,63688000000.0,7131000000.0,31575000000.0,31575000000.0,9408000000.0,44086000000.0,114281000000.0,9697000000.0,-14821000000.0,11587000000.0
Apple,AAPL,Apple Inc.,320193,Electronic Computers,Operating Company,,,"ONE APPLE PARK WAY
CUPERTINO, CA 95014",2025-09-27,416161000000.0,220960000000.0,195201000000.0,62151000000.0,133050000000.0,112010000000.0,359241000000.0,147957000000.0,211284000000.0,285508000000.0,165631000000.0,119877000000.0,78328000000.0,73733000000.0,111482000000.0,15195000000.0,-120686000000.0
Cisco Systems,CSCO,"CISCO SYSTEMS, INC.",858877,Computer Communications Equipment,Operating Company,,,"170 WEST TASMAN DR
SAN JOSE, CA 95134-1706",2025-07-26,56654000000.0,19864000000.0,36790000000.0,25030000000.0,11760000000.0,10180000000.0,122291000000.0,34986000000.0,6059000000.0,75448000000.0,35064000000.0,2995000000.0,22861000000.0,46843000000.0,14193000000.0,1733000000.0,-15815000000.0
Microsoft,MSFT,MICROSOFT CORP,789019,Services-Prepackaged Software,Operating Company,,,"ONE MICROSOFT WAY
REDMOND, WA 98052-6399",2025-06-30,281724000000.0,87831000000.0,193893000000.0,,128528000000.0,101832000000.0,619003000000.0,191131000000.0,40565000000.0,275524000000.0,141218000000.0,45186000000.0,40152000000.0,343479000000.0,136162000000.0,-72599000000.0,-51699000000.0
Oracle,ORCL,ORACLE CORP,1341439,Services-Prepackaged Software,Operating Company,,,"2300 ORACLE WAY
AUSTIN, TX 78741",2025-05-31,57399000000.0,,,39721000000.0,17678000000.0,12443000000.0,168361000000.0,24579000000.0,143782000000.0,32643000000.0,32643000000.0,114749000000.0,,20451000000.0,20821000000.0,-21711000000.0,1098000000.0
Walmart,WMT,Walmart Inc.,104169,Retail-Variety Stores,Operating Company,,,"1 CUSTOMER DRIVE
BENTONVILLE, AR 72716",2025-01-31,674538000000.0,511753000000.0,,139884000000.0,29348000000.0,19436000000.0,260823000000.0,79458000000.0,12869000000.0,96584000000.0,96584000000.0,,33401000000.0,91013000000.0,36443000000.0,-21379000000.0,-14822000000.0
NVIDIA,NVDA,NVIDIA CORP,1045810,Semiconductors & Related Devices,Operating Company,,,"2788 SAN TOMAS EXPRESSWAY
SANTA CLARA, CA 95051",2025-01-26,130497000000.0,32639000000.0,97858000000.0,16405000000.0,81453000000.0,72880000000.0,111601000000.0,80126000000.0,6425000000.0,32274000000.0,18047000000.0,4245000000.0,8463000000.0,79327000000.0,64089000000.0,-20421000000.0,-42359000000.0
Chevron,CVX,CHEVRON CORP,93410,Petroleum Refining,Operating Company,,,"1400 SMITH STREET
HOUSTON, TX 77002",2024-12-31,193414000000.0,119206000000.0,,175286000000.0,,17661000000.0,256938000000.0,40911000000.0,14854000000.0,103781000000.0,38558000000.0,,20135000000.0,152318000000.0,31492000000.0,-8936000000.0,-23472000000.0
Southern Company,SO,SOUTHERN CO,92122,Electric Services,Operating Company,,,"30 IVAN ALLEN JR. BLVD., N.W.
ATLANTA, GA 30308",2024-12-31,26724000000.0,,,19656000000.0,7068000000.0,530000000.0,145180000000.0,10694000000.0,1467000000.0,108506000000.0,15993000000.0,1350000000.0,58768000000.0,33208000000.0,9788000000.0,-9400000000.0,-208000000.0
JPMorgan Chase,JPM,JPMORGAN CHASE & CO,19617,National Commercial Banks,Bank,,,"270 PARK AVENUE
NEW YORK, NY 10017",2024-12-31,,,,,,58471000000.0,4002814000000.0,,,3658056000000.0,,,401418000000.0,344758000000.0,-42012000000.0,-163403000000.0,63447000000.0
AbbVie,ABBV,AbbVie Inc.,1551152,Pharmaceutical Preparations,Operating Company,,,"1 NORTH WAUKEGAN ROAD
NORTH CHICAGO, IL 60064",2024-12-31,56334000000.0,16904000000.0,,47197000000.0,9137000000.0,4278000000.0,135161000000.0,25582000000.0,9142000000.0,38749000000.0,38749000000.0,30129000000.0,6804000000.0,3325000000.0,18806000000.0,-20820000000.0,-5211000000.0
Bank of America,BAC,BANK OF AMERICA CORP /DE/,70858,National Commercial Banks,Bank,,,"BANK OF AMERICA CORPORATE CENTER
100 N TRYON ST
CHARLOTTE, NC 28255",2024-12-31,101887000000.0,,,,,27132000000.0,3261519000000.0,,,2965960000000.0,,,283279000000.0,295559000000.0,-8805000000.0,-90693000000.0,60369000000.0
Wells Fargo,WFC,WELLS FARGO & COMPANY/MN,72971,National Commercial Banks,Bank,,,"333 MARKET STREET
SAN FRANCISCO, CA 94105",2024-12-31,,,,,,19722000000.0,1929845000000.0,,,1748779000000.0,,,173078000000.0,179120000000.0,3035000000.0,-15651000000.0,-21534000000.0
Goldman Sachs,GS,GOLDMAN SACHS GROUP INC,886982,"Security Brokers, Dealers & Flotation Companies",Investment Manager,,,"200 WEST STREET
NEW YORK, NY 10282",2024-12-31,,,,33767000000.0,,14276000000.0,1675972000000.0,,,1553976000000.0,,,,121996000000.0,-13212000000.0,-49624000000.0,7323000000.0
